Summary level,Program label,Program,Sub-program,Name,Code,Subsidized units available,% Occupied,# Reported,% Reported,Average months since report,% moved in past year,Number of people per unit,Number of people: total,Average Family Expenditure per month ($$),Average HUD Expenditure per month ($$),Household income per year,Household income per year per person,"% $1 - $4,999","% $5,000 - $9,999","% $10,000 - $14,999","% $15,000 - $19,999","% $20,000 or more",% Households where wages are major source of income,% Households where welfare is major source of income,% Households with other major sources of income,% of local median (Household income),% very low income,% extremely low income,% 2+ adults with children,% 1 adult with children,% female head,% female head with children,"% with disability, among Head, Spouse, Co-head, aged 61 years or less","% with disability, among Head, Spouse, Co-head, aged 62 years or older","% with disability, among all persons in households",% 24 years or less (Head or spouse),% 25 to 49 years (Head or spouse),% 51 to 60 (Head or spouse),% 62 or more (Head or spouse),% 85 or more (Head or spouse),% Minority,%Black Non-Hispanic, %Black Hispanic,%Native American Non-Hispanic,%Asian or Pacific Islander Non-Hispanic,% Hispanic,Average months on waiting list,Average months since moved in,% with utility allowance,Average utility allowance $$,% 0 - 1 bedrooms:,% 2 bedrooms,% 3+ bedrooms,% Overhoused,% in poverty (Census tract),% minority (Census tract),% single family owners (Census tract),Congressional District,CBSA,PLACE,Latitude,Longitude,State,PHA Total Units,HA category,%White Hispanic,%White Non-Hispanic,% Multiple Race,%Other Hispanic
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 020100,37001020100,279,92,256,100,6,17,1.8,458,299,651,12638,7064,23,5,34,19,19,10,-1,88,22,98,72,4,30,76,25,23,21,13,5,35,9,51,9,59,54,1,1,0,5,16,82,80,92,54,26,21,10,27,43,57,NA,15500,09060,NA,NA,NC,NA,NA,2,39,1,2
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 020200,37001020200,120,85,101,99,6,15,1.4,145,361,548,14342,9990,4,6,46,28,15,13,-1,83,25,96,72,-1,18,74,16,33,27,26,3,21,15,61,4,77,75,-1,1,1,0,15,93,94,123,57,30,13,23,45,70,79,NA,15500,09060,NA,NA,NC,NA,NA,-1,23,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 020301,37001020301,161,91,143,98,7,13,2,279,325,638,13092,6710,15,5,44,20,15,16,-1,79,22,97,77,3,34,64,22,26,24,13,3,41,16,41,1,78,70,1,-1,-1,8,-1,79,97,95,51,24,24,10,26,74,59,NA,15500,09060,NA,NA,NC,NA,NA,1,17,1,6
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 020302,37001020302,46,82,37,99,6,14,2.1,76,384,499,14935,7271,3,14,46,20,17,24,-1,70,24,92,76,3,35,78,38,56,80,30,3,43,27,27,-1,70,70,-1,-1,-1,0,16,103,68,127,32,35,32,30,17,75,59,NA,15500,09060,NA,NA,NC,NA,NA,-1,30,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 020400,37001020400,141,78,109,100,4,31,2.2,235,361,594,14232,6601,9,8,49,13,22,26,-1,69,23,98,73,-1,46,84,44,27,75,23,4,45,18,33,1,87,85,-1,-1,-1,2,3,84,99,155,17,46,37,36,22,81,71,NA,15500,09060,NA,NA,NC,NA,NA,2,13,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 020501,37001020501,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,15500,09060,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 020502,37001020502,115,84,96,100,5,11,2.3,219,364,624,14576,6389,11,2,44,19,23,21,-1,73,23,100,73,5,45,84,49,38,79,26,5,49,21,25,1,81,78,-1,-1,1,2,16,93,97,172,20,50,30,22,34,73,64,NA,15500,09060,NA,NA,NC,NA,NA,1,14,2,1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 020601,37001020601,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,15500,09060,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 020602,37001020602,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,15500,09060,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 020701,37001020701,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,15500,09060,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 020702,37001020702,81,96,77,100,6,12,1.1,88,371,515,15462,13529,4,3,49,25,19,5,-1,95,28,99,61,-1,6,65,5,13,4,5,1,6,3,90,12,69,66,-1,-1,-1,3,34,79,96,61,83,16,1,6,20,52,38,NA,15500,09060,NA,NA,NC,NA,NA,-1,31,3,3
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 020801,37001020801,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,15500,09060,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 020802,37001020802,238,86,205,100,5,19,1.4,286,366,494,14951,10717,4,4,49,26,18,11,-1,87,26,98,68,-1,15,69,15,59,20,26,-1,20,17,63,4,65,62,-1,0,-1,2,15,82,47,141,67,25,8,15,28,69,63,NA,15500,XXXXX,NA,NA,NC,NA,NA,2,34,1,0
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 020901,37001020901,49,77,37,99,6,8,1.2,45,401,616,16500,13567,-1,-1,57,24,19,5,-1,95,29,100,68,-1,11,78,11,82,46,49,-1,8,22,70,3,68,65,3,-1,-1,3,14,89,100,91,27,70,3,59,11,48,76,NA,15500,27280,NA,NA,NC,NA,NA,-1,32,3,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 020902,37001020902,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,15500,27280,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021000,37001021000,364,86,314,100,6,16,1.7,538,337,538,13976,8157,7,8,49,20,16,17,0,78,24,97,76,1,27,76,27,49,62,35,2,34,24,40,1,75,69,0,1,1,4,16,80,92,98,51,37,12,17,46,66,50,NA,15500,27280,NA,NA,NC,NA,NA,3,25,1,-1
